heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2008-164,Madras Thorn,Pithecellobium dulce,,https://heritagetrees.nparks.gov.sg/ht-2008-164/,103.80192300040991,1.3374018195898074
HT 2008-169,Rain Tree,Samanea saman (Jacq.) Merr.,,https://heritagetrees.nparks.gov.sg/ht-2008-169/,103.84801639960158,1.3092773300462701
HT 2009-175,Rain Tree,Samanea saman (Jacq.) Merr.,,https://heritagetrees.nparks.gov.sg/ht-2009-175/,103.82502970002251,1.2881367695901618
HT 2010-177,Brown Woolly Fig,Ficus drupacea Thunb.,,https://heritagetrees.nparks.gov.sg/ht-2010-177/,103.78160000031146,1.307439999816765
HT 2010-178,Brown Woolly Fig,Ficus drupacea Thunb.,,https://heritagetrees.nparks.gov.sg/ht-2010-178/,103.7818599998801,1.3076399999511599
HT 2010-179,Brown Woolly Fig,Ficus drupacea Thunb.,,https://heritagetrees.nparks.gov.sg/ht-2010-179/,103.78159000016217,1.3076700002709436
HT 2010-180,Brown Woolly Fig,Ficus drupacea Thunb.,,https://heritagetrees.nparks.gov.sg/ht-2010-180/,103.7815399996742,1.3077100001739863
HT 2010-181,Indian Rubber Tree,Ficus elastica Roxb. ex Hornem.,,https://heritagetrees.nparks.gov.sg/ht-2010-181/,103.84913999997384,1.2964299998638276
HT 2010-182,Red Mahogany,Khaya nyasica,,https://heritagetrees.nparks.gov.sg/ht-2010-182/,103.84465000040046,1.3339500000205333
HT 2014-225,Bodhi Tree,Ficus religiosa L.,,https://heritagetrees.nparks.gov.sg/ht-2014-225/,103.86086800039594,1.3242229997560317
HT 2014-226,蓝子木,Margaritaria indica (Dalzell) Airy Shaw,,https://heritagetrees.nparks.gov.sg/ht-2014-226/,103.77211899970983,1.3070099996746432
HT 2019-300,Neem Tree,Azadirachta indica A. Juss.,,https://heritagetrees.nparks.gov.sg/ht-2019-300/,103.84789199987263,1.2207309996136468
HT 2016-275,Madras Thorn,Pithecellobium dulce,Marine Parade Rd Park / Playground,https://heritagetrees.nparks.gov.sg/ht-2016-275/,103.90924532238279,1.30559347408252
HT 2018-292,Chittagong Wood,Chukrasia tabularis,"Hooper Rd Playground, near House No 21A",https://heritagetrees.nparks.gov.sg/ht-2018-292/,103.84312920905718,1.312076543713054
HT 2012-203,Indian Rubber Tree,Ficus elastica Roxb. ex Hornem.,"Duxton Plain Park, near Pinnacle block 1D",https://heritagetrees.nparks.gov.sg/ht-2012-203/,103.84223832270179,1.2770801377387486
HT 2019-303,Johor Fig,Ficus kerkhovenii Valeton,,https://heritagetrees.nparks.gov.sg/ht-2019-303/,103.82531999974084,1.2492799996066344
