OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,SHAPE.AREA,SHAPE.LEN,area_sq_km,heritage_tree_count,heritage_trees_per_sq_km,hdb_building_count,heritage_trees_per_100_hdb_buildings,tree_proxy_warning
760,2,LIU FANG,BLSZ02,N,BOON LAY,BL,WEST REGION,WR,E793F02FC4904B9B,20191223152313,2338909.48885377,7135.44250052116,2.3547,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
761,1,TANGLIN,ORSZ01,Y,ORCHARD,OR,CENTRAL REGION,CR,876C892801F74239,20191223152313,167537.065383535,1864.48866531532,0.1687,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
762,3,MARINE PARADE,MPSZ03,N,MARINE PARADE,MP,CENTRAL REGION,CR,44613908A004F20C,20191223152313,1160017.47825809,6019.27909596131,1.1678,0,0.0,78,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
763,1,JOO KOON,PNSZ01,N,PIONEER,PN,WEST REGION,WR,CC5510269C17C164,20191223152313,2349378.25644115,8601.20160702838,2.3652,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
764,1,KALLANG WAY,GLSZ01,N,GEYLANG,GL,CENTRAL REGION,CR,E8881EED4DAD592B,20191223152313,963494.690565225,4055.20793649912,0.97,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
765,7,INTERNATIONAL BUSINESS PARK,JESZ07,N,JURONG EAST,JE,WEST REGION,WR,AB2265CD54169CDC,20191223152313,485022.306982515,3024.27583608698,0.4883,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
766,1,TUKANG,BLSZ01,N,BOON LAY,BL,WEST REGION,WR,6CCF8637EBA7EA5E,20191223152313,1881305.82857946,6899.99945557625,1.894,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
767,6,CORONATION ROAD,BTSZ06,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,5DB075FA57F73ADC,20191223152313,1425083.17678668,5905.90419262576,1.4347,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
768,3,KEMBANGAN,BDSZ03,N,BEDOK,BD,EAST REGION,ER,528DB1419283465B,20191223152313,2387277.53160096,6785.1117073234,2.4034,0,0.0,80,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
769,4,DUNEARN,NVSZ04,N,NOVENA,NV,CENTRAL REGION,CR,6AE9512B5A8CADFA,20191223152313,1229894.4167056,4827.40826399462,1.2382,1,0.808,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
